word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
如例,208,40,0.7272727272727273,0.17937219730941703,1.4061827013927026,2.6503496503496504
一百,21,4,0.07272727272727272,0.05555555555555555,1.392376901867672,2.625108225108225
皇太后,281,51,0.9272727272727272,0.17894736842105263,1.3226933463970016,2.5013264315755417
上詣,299,54,0.9818181818181818,0.18,1.3155801526117956,2.4890240194588023
沙,17,3,0.05454545454545454,0.043478260869565216,1.282193984117249,2.4320855614973262
文武,296,52,0.9454545454545454,0.17391304347826086,1.2756806771585745,2.421130221130221
大臣,312,50,0.9090909090909091,0.15772870662460567,1.1431482955589087,2.2086247086247086
奉,51,8,0.14545454545454545,0.08163265306122448,1.1122689826749366,2.1618538324420675
十四,20,3,0.05454545454545454,0.041666666666666664,1.047728730480226,2.0672727272727274
遣官,34,5,0.09090909090909091,0.05952380952380952,1.019159578283455,2.0267379679144386
誠信,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
聖祖合,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
恭儉,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
大清,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
成仁,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
孝敬,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
天弘運,259,37,0.6727272727272727,0.13357400722021662,0.977339402588828,1.9688311688311688
寬裕,260,37,0.6727272727272727,0.13309352517985612,0.9717798772469275,1.9612587412587412
睿哲,260,37,0.6727272727272727,0.13309352517985612,0.9717798772469275,1.9612587412587412
功德,261,37,0.6727272727272727,0.13261648745519714,0.9662416937054975,1.9537443399512364
卷,262,37,0.6727272727272727,0.13214285714285715,0.9607246887379317,1.9462873004857737
皇帝,287,39,0.7090909090909091,0.12871287128712872,0.9051896168329926,1.8727906240101362
趙,74,10,0.18181818181818182,0.08403361344537816,0.8971690539048447,1.8624078624078624
大,279,37,0.6727272727272727,0.12457912457912458,0.8700263784461942,1.8276963180188988
問安,197,24,0.43636363636363634,0.10526315789473684,0.7476050059112122,1.6790032302722657
禮遣,34,4,0.07272727272727272,0.047058823529411764,0.6972314833960926,1.6213903743315508
親詣,94,11,0.2,0.07971014492753623,0.689537091606092,1.6127659574468085
穀,26,3,0.05454545454545454,0.038461538461538464,0.6692171072264964,1.5902097902097903
問安諭,35,4,0.07272727272727272,0.046511627906976744,0.6554113077014656,1.575064935064935
和,364,41,0.7454545454545455,0.10846560846560846,0.6344516890658196,1.5523476523476523
都,285,32,0.5818181818181818,0.1038961038961039,0.6298762155943282,1.5474322169059012
孝昭,72,8,0.14545454545454545,0.06722689075630252,0.6147693232041198,1.5313131313131314
孝,73,8,0.14545454545454545,0.06666666666666667,0.5948697657664148,1.5103362391033623
宮,278,30,0.5454545454545454,0.09900990099009901,0.5726438475314434,1.487246566383257
章,28,3,0.05454545454545454,0.0375,0.5623019033099845,1.4766233766233767
二十,38,4,0.07272727272727272,0.0449438202247191,0.5367668112028467,1.4507177033492824
孝陵仁,60,6,0.10909090909090909,0.05504587155963303,0.4627662297590697,1.3781818181818182
殿,60,6,0.10909090909090909,0.05504587155963303,0.4627662297590697,1.3781818181818182
軍,183,18,0.32727272727272727,0.08181818181818182,0.43891948780470214,1.3555886736214604
上幸,42,4,0.07272727272727272,0.043010752688172046,0.39237690186767193,1.3125541125541125
暫安奉,54,5,0.09090909090909091,0.04807692307692308,0.351734917370326,1.2760942760942762
皇后,101,9,0.16363636363636364,0.061224489795918366,0.2964078433369498,1.2280828082808282
錢,83,7,0.12727272727272726,0.05343511450381679,0.21700981535711134,1.1623220153340634
祭,193,15,0.2727272727272727,0.06437768240343347,0.09912788298687052,1.0711257654262836
孝懿,52,4,0.07272727272727272,0.038834951456310676,0.08425460650533997,1.0601398601398602
官,241,16,0.2909090909090909,0.05714285714285714,-0.12819501158352936,0.9149754809505847
馬,98,6,0.10909090909090909,0.04081632653061224,-0.24505301874761962,0.8437847866419295
令,75,4,0.07272727272727272,0.031746031746031744,-0.44412436584944853,0.735030303030303
駐,57,3,0.05454545454545454,0.027522935779816515,-0.4632331887971533,0.7253588516746412
