antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
學士,侍郎,1,1,0.09102902374670185,0.5564516129032259,3.2197734548140855,學士(OFF),侍郎(OFF)
"大學士, 實錄",滿洲,2,1,0.051451187335092345,0.513157894736842,3.1623876765083434,"大學士(OFF), 實錄(SYS)",滿洲(GRP)
八旗,蒙古,1,1,0.06860158311345646,0.6341463414634146,3.1417184760082897,八旗(SYS),蒙古(GRP)
"八旗, 康熙",大學士,2,1,0.05804749340369393,0.6875,3.1393072289156625,"八旗(SYS), 康熙(DATE)",大學士(OFF)
"諸王, 貝勒貝子",蒙古,2,1,0.05013192612137203,0.6333333333333333,3.137690631808279,"諸王(OFF), 貝勒貝子(OFF)",蒙古(GRP)
"康熙, 諸王",蒙古,2,1,0.05408970976253298,0.6307692307692307,3.124987430869784,"康熙(DATE), 諸王(OFF)",蒙古(GRP)
諸王,"實錄, 朔",1,2,0.051451187335092345,0.5064935064935064,3.1213177066835596,諸王(OFF),"實錄(SYS), 朔(DATE)"
"朔, 諸王",蒙古,2,1,0.051451187335092345,0.6290322580645161,3.1163820366856423,"朔(DATE), 諸王(OFF)",蒙古(GRP)
蒙古,滿洲,1,1,0.10158311345646438,0.5032679738562092,3.1014400340081836,蒙古(GRP),滿洲(GRP)
滿洲,蒙古,1,1,0.10158311345646438,0.6260162601626016,3.101440034008183,滿洲(GRP),蒙古(GRP)
貝勒貝子,蒙古,1,1,0.052770448548812667,0.625,3.09640522875817,貝勒貝子(OFF),蒙古(GRP)
"元旦, 正月",蒙古,2,1,0.05013192612137203,0.6229508196721312,3.0862530804671597,"元旦(DATE), 正月(DATE)",蒙古(GRP)
"康熙, 正月",蒙古,2,1,0.052770448548812667,0.6153846153846154,3.0487682252388137,"康熙(DATE), 正月(DATE)",蒙古(GRP)
"朔, 正月",蒙古,2,1,0.05013192612137203,0.6129032258064516,3.036474804975754,"朔(DATE), 正月(DATE)",蒙古(GRP)
"元旦, 康熙",蒙古,2,1,0.05013192612137203,0.6129032258064516,3.036474804975754,"元旦(DATE), 康熙(DATE)",蒙古(GRP)
"朔, 滿洲",蒙古,2,1,0.05804749340369393,0.6111111111111112,3.0275962236746556,"朔(DATE), 滿洲(GRP)",蒙古(GRP)
元旦,蒙古,1,1,0.05013192612137203,0.6031746031746031,2.988276792198361,元旦(DATE),蒙古(GRP)
正月,蒙古,1,1,0.05408970976253298,0.6029411764705882,2.987120338331411,正月(DATE),蒙古(GRP)
"康熙, 昭陵",太廟,2,1,0.079155672823219,0.7228915662650602,2.899215911264104,"康熙(DATE), 昭陵(LOC)",太廟(LOC)
"康熙, 永陵",太廟,2,1,0.079155672823219,0.7228915662650602,2.899215911264104,"康熙(DATE), 永陵(LOC)",太廟(LOC)
諸王,蒙古,1,1,0.059366754617414245,0.5844155844155844,2.8953399541634837,諸王(OFF),蒙古(GRP)
"實錄, 滿洲",大學士,2,1,0.051451187335092345,0.6290322580645161,2.8723280217644773,"實錄(SYS), 滿洲(GRP)",大學士(OFF)
